datetime,timing,temperature
2024-10-01 04:51,before,0.7
2024-10-01 12:11,working,-0.1
2024-10-01 18:01,after,1.5
2024-10-02 04:51,before,-0.1
2024-10-02 12:01,working,2.7
2024-10-02 18:01,after,-0.7
2024-10-03 05:01,before,1.5
2024-10-03 12:11,working,0.5
2024-10-03 18:01,after,0.3
2024-10-04 04:51,before,1.2
2024-10-04 12:11,working,-0.2
2024-10-04 18:01,after,1.5
2024-10-05 04:51,before,1.0
2024-10-05 12:01,working,0.9
2024-10-05 18:01,after,0.1
2024-10-06 04:51,before,0.2
2024-10-06 12:11,working,-0.5
2024-10-06 18:01,after,0.1
2024-10-07 04:51,before,-0.8
2024-10-07 12:11,working,0.9
2024-10-07 18:01,after,-1.2
2024-10-08 04:51,before,-0.8
2024-10-08 12:11,working,0.9
2024-10-08 18:01,after,0.3
2024-10-09 04:51,before,0.1
2024-10-09 12:11,working,0.5
2024-10-09 18:01,after,0.1
2024-10-10 04:51,before,1.4
2024-10-10 12:11,working,1.5
2024-10-10 18:01,after,-1.2
2024-10-11 04:51,before,0.7
2024-10-11 12:01,working,1.5
2024-10-11 18:01,after,-0.3
2024-10-12 04:51,before,-0.6
2024-10-12 12:01,working,1.4
2024-10-12 18:01,after,0.0
2024-10-13 04:51,before,0.2
2024-10-13 12:11,working,1.2
2024-10-13 18:01,after,0.4
2024-10-14 04:51,before,0.1
2024-10-14 12:11,working,-0.8
2024-10-14 18:01,after,-0.3
2024-10-15 05:01,before,1.4
2024-10-15 12:11,working,1.3
2024-10-15 18:01,after,1.2
2024-10-16 04:51,before,0.7
2024-10-16 12:11,working,2.7
2024-10-16 18:01,after,-1.9
2024-10-17 04:51,before,0.7
2024-10-17 12:11,working,0.8
2024-10-17 18:01,after,0.0
2024-10-18 04:51,before,-0.1
2024-10-18 12:11,working,0.1
2024-10-18 18:01,after,-0.7
2024-10-19 04:51,before,0.5
2024-10-19 12:01,working,-0.5
2024-10-19 18:01,after,1.8
2024-10-20 04:51,before,0.8
2024-10-20 12:11,working,0.0
2024-10-20 18:01,after,0.2
2024-10-21 04:51,before,1.6
2024-10-21 12:11,working,-0.4
2024-10-21 18:01,after,1.6
2024-10-22 04:51,before,-0.2
2024-10-22 12:11,working,0.1
2024-10-22 18:01,after,-0.4
2024-10-23 04:51,before,-0.3
2024-10-23 12:11,working,3.3
2024-10-23 18:01,after,1.1
2024-10-24 04:51,before,0.3
2024-10-24 12:11,working,7.1
2024-10-24 18:01,after,1.2
2024-10-25 04:51,before,0.5
2024-10-25 12:11,working,1.0
2024-10-25 18:01,after,-0.1
2024-10-26 04:52,before,0.4
2024-10-26 12:02,working,-1.5
2024-10-26 18:02,after,-0.6
2024-10-27 04:52,before,0.8
2024-10-27 12:12,working,1.4
2024-10-27 18:02,after,1.1
2024-10-28 04:52,before,0.9
2024-10-28 12:12,working,3.0
2024-10-28 18:02,after,1.1
2024-10-29 04:52,before,1.2
2024-10-29 12:12,working,1.0
2024-10-29 18:02,after,0.4
2024-10-30 04:52,before,-0.3
2024-10-30 12:12,working,5.1
2024-10-30 18:02,after,0.7
2024-10-31 04:52,before,1.3
2024-10-31 12:12,working,2.0
2024-10-31 18:02,after,2.1
