datetime,timing,temperature
2025-07-01 05:00,before,2.8
2025-07-01 12:50,working,0.6
2025-07-01 18:10,after,0.4
2025-07-02 05:00,before,0.5
2025-07-02 12:40,working,5.7
2025-07-02 18:10,after,2.7
2025-07-03 05:00,before,0.5
2025-07-03 12:40,working,1.4
2025-07-03 18:10,after,0.7
2025-07-04 05:00,before,-1.0
2025-07-04 12:40,working,1.3
2025-07-04 18:00,after,2.1
2025-07-05 05:00,before,1.2
2025-07-05 12:30,working,0.9
2025-07-05 18:00,after,2.0
2025-07-06 05:00,before,0.8
2025-07-06 12:40,working,1.2
2025-07-06 18:00,after,1.0
2025-07-07 05:00,before,0.9
2025-07-07 12:40,working,2.4
2025-07-07 18:10,after,-0.1
2025-07-08 05:00,before,0.6
2025-07-08 12:40,working,1.6
2025-07-08 18:10,after,1.6
2025-07-09 05:00,before,0.4
2025-07-09 12:40,working,4.1
2025-07-09 18:10,after,3.9
2025-07-10 05:00,before,3.2
2025-07-10 12:40,working,1.9
2025-07-10 18:10,after,-1.2
2025-07-11 05:00,before,-1.2
2025-07-11 12:40,working,0.9
2025-07-11 18:10,after,4.5
2025-07-12 05:00,before,1.2
2025-07-12 12:40,working,1.7
2025-07-12 18:00,after,1.7
2025-07-13 05:00,before,1.2
2025-07-13 12:50,working,0.5
2025-07-13 18:00,after,1.0
2025-07-14 05:00,before,1.2
2025-07-14 12:50,working,1.9
2025-07-14 18:10,after,2.6
2025-07-15 05:00,before,2.8
2025-07-15 12:50,working,0.7
2025-07-15 18:10,after,0.6
2025-07-16 05:00,before,0.4
2025-07-16 12:40,working,3.9
2025-07-16 18:10,after,-0.3
2025-07-17 05:00,before,1.0
2025-07-17 12:40,working,1.9
2025-07-17 18:10,after,0.7
2025-07-18 05:00,before,0.0
2025-07-18 12:50,working,1.3
2025-07-18 18:10,after,3.8
2025-07-19 04:50,before,1.6
2025-07-19 12:40,working,0.8
2025-07-19 18:00,after,0.5
2025-07-20 05:00,before,0.4
2025-07-20 12:50,working,0.4
2025-07-20 18:00,after,0.6
2025-07-21 05:00,before,0.3
2025-07-21 12:50,working,1.8
2025-07-21 18:10,after,1.6
2025-07-22 05:00,before,0.6
2025-07-22 12:50,working,0.7
2025-07-22 18:10,after,1.3
2025-07-23 05:00,before,0.8
2025-07-23 12:50,working,4.1
2025-07-23 18:10,after,2.5
2025-07-24 05:00,before,1.1
2025-07-24 12:50,working,1.0
2025-07-24 18:10,after,1.7
2025-07-25 05:00,before,0.7
2025-07-25 12:50,working,1.5
2025-07-25 18:10,after,2.7
2025-07-26 05:00,before,-0.4
2025-07-26 12:40,working,0.2
2025-07-26 18:00,after,-0.7
2025-07-27 05:00,before,-0.5
2025-07-27 12:50,working,0.5
2025-07-27 18:00,after,-1.0
2025-07-28 05:00,before,0.3
2025-07-28 12:50,working,1.6
2025-07-28 18:10,after,-1.6
2025-07-29 05:00,before,-1.0
2025-07-29 05:00,before,-1.0
2025-07-29 12:50,working,0.5
2025-07-29 18:10,after,1.5
2025-07-30 05:00,before,0.5
2025-07-30 12:50,working,3.8
2025-07-30 18:10,after,2.7
2025-07-31 05:00,before,1.6
2025-07-31 12:50,working,0.9
2025-07-31 18:10,after,0.3
