datetime,timing,temperature
2025-07-01 05:03,before,2.3
2025-07-01 12:53,working,1.2
2025-07-01 18:13,after,-0.5
2025-07-02 05:03,before,1.2
2025-07-02 12:43,working,1.9
2025-07-02 18:13,after,3.2
2025-07-03 05:03,before,3.1
2025-07-03 12:43,working,3.5
2025-07-03 18:13,after,3.6
2025-07-04 05:03,before,3.8
2025-07-04 12:43,working,2.8
2025-07-04 18:03,after,2.9
2025-07-05 05:03,before,3.4
2025-07-05 12:33,working,2.6
2025-07-05 18:03,after,2.6
2025-07-06 05:03,before,2.7
2025-07-06 12:43,working,2.5
2025-07-06 18:03,after,2.3
2025-07-07 05:03,before,2.8
2025-07-07 12:43,working,2.0
2025-07-07 18:13,after,2.5
2025-07-08 05:03,before,3.3
2025-07-08 12:43,working,3.5
2025-07-08 18:13,after,-0.3
2025-07-09 05:03,before,1.1
2025-07-09 12:43,working,-0.2
2025-07-09 18:13,after,-0.9
2025-07-10 05:03,before,1.4
2025-07-10 12:43,working,0.4
2025-07-10 18:03,after,-0.4
2025-07-11 04:03,before,0.1
2025-07-11 12:43,working,-0.4
2025-07-11 18:13,after,-1.4
2025-07-12 05:03,before,1.0
2025-07-12 12:43,working,-0.6
2025-07-12 18:03,after,-0.1
2025-07-13 05:03,before,2.2
2025-07-13 12:53,working,-0.7
2025-07-13 18:03,after,-0.7
2025-07-14 05:03,before,1.7
2025-07-14 12:53,working,0.3
2025-07-14 18:13,after,1.8
2025-07-15 05:03,before,3.3
2025-07-15 12:53,working,2.0
2025-07-15 18:13,after,2.0
2025-07-16 05:03,before,2.3
2025-07-16 12:43,working,2.3
2025-07-16 18:13,after,2.3
2025-07-17 05:03,before,2.8
2025-07-17 12:43,working,1.7
2025-07-17 18:13,after,1.9
2025-07-18 05:03,before,2.5
2025-07-18 12:53,working,2.4
2025-07-18 18:13,after,2.5
2025-07-19 05:03,before,2.5
2025-07-19 12:43,working,2.5
2025-07-19 18:03,after,2.9
2025-07-20 05:03,before,3.2
2025-07-20 12:53,working,3.0
2025-07-20 18:03,after,2.9
2025-07-21 05:03,before,3.7
2025-07-21 12:53,working,2.9
2025-07-21 18:13,after,2.8
2025-07-22 05:03,before,3.3
2025-07-22 12:53,working,2.5
2025-07-22 18:13,after,2.6
2025-07-23 05:03,before,3.6
2025-07-23 12:43,working,3.9
2025-07-23 18:13,after,-1.7
2025-07-24 05:03,before,0.9
2025-07-24 12:53,working,-1.3
2025-07-24 18:13,after,-1.5
2025-07-25 05:03,before,0.1
2025-07-25 12:33,working,-0.8
2025-07-25 18:03,after,-0.5
2025-07-26 04:53,before,0.3
2025-07-26 12:43,working,0.9
2025-07-26 18:03,after,-0.4
2025-07-27 05:03,before,1.6
2025-07-27 12:53,working,0.8
2025-07-27 18:03,after,-0.3
2025-07-28 05:03,before,1.4
2025-07-28 12:53,working,-0.9
2025-07-28 18:13,after,-0.5
2025-07-29 05:03,before,1.4
2025-07-29 05:03,before,1.4
2025-07-29 12:53,working,0.2
2025-07-29 18:13,after,0.6
2025-07-30 05:03,before,2.3
2025-07-30 12:53,working,3.4
2025-07-30 18:13,after,-0.4
2025-07-31 05:03,before,2.1
2025-07-31 12:53,working,1.0
2025-07-31 18:13,after,3.2
