datetime,timing,temperature
2025-04-01 04:52,before,-17.3
2025-04-01 12:22,working,-19.2
2025-04-01 18:02,after,-19.0
2025-04-02 04:52,before,-17.6
2025-04-02 12:12,working,-19.4
2025-04-02 18:02,after,-17.7
2025-04-03 04:52,before,-19.7
2025-04-03 12:13,working,-19.0
2025-04-03 18:03,after,-18.6
2025-04-04 04:53,before,-18.6
2025-04-04 12:13,working,-19.7
2025-04-04 18:03,after,-18.3
2025-04-05 04:53,before,-17.8
2025-04-05 12:13,working,-19.7
2025-04-05 18:03,after,-19.6
2025-04-06 04:53,before,-19.5
2025-04-06 12:13,working,-18.5
2025-04-06 18:03,after,-18.2
2025-04-07 04:53,before,-17.7
2025-04-07 12:13,working,-19.6
2025-04-07 18:03,after,-18.0
2025-04-08 04:53,before,-18.2
2025-04-08 12:13,working,-16.6
2025-04-08 18:03,after,-19.6
2025-04-09 04:53,before,-17.5
2025-04-09 12:13,working,-18.3
2025-04-09 18:03,after,-19.2
2025-04-10 04:53,before,-17.5
2025-04-10 12:13,working,-18.8
2025-04-10 18:03,after,-18.6
2025-04-11 04:53,before,-18.9
2025-04-11 12:13,working,-18.9
2025-04-11 18:03,after,-17.9
2025-04-12 04:53,before,-18.8
2025-04-12 12:13,working,-20.1
2025-04-12 18:03,after,-19.9
2025-04-13 04:53,before,-17.6
2025-04-13 13:13,working,-19.6
2025-04-13 18:03,after,-19.7
2025-04-14 04:53,before,-18.1
2025-04-14 12:23,working,-11.4
2025-04-14 18:03,after,-18.9
2025-04-15 04:53,before,-17.7
2025-04-15 12:23,working,-19.6
2025-04-15 18:03,after,-17.6
2025-04-16 04:53,before,-17.7
2025-04-16 12:24,working,-19.1
2025-04-16 18:04,after,-17.6
2025-04-17 04:54,before,-17.3
2025-04-17 12:14,working,-18.2
2025-04-17 18:04,after,-19.3
2025-04-18 04:54,before,-17.8
2025-04-18 12:14,working,-20.0
2025-04-18 18:04,after,-12.7
2025-04-19 04:54,before,-19.4
2025-04-19 12:14,working,-17.9
2025-04-19 18:04,after,-19.3
2025-04-20 04:54,before,-18.4
2025-04-20 12:24,working,-19.3
2025-04-20 18:04,after,-19.9
2025-04-21 04:54,before,-18.6
2025-04-21 12:24,working,-17.8
2025-04-21 18:04,after,-3.7
2025-04-22 04:54,before,-3.4
2025-04-22 12:24,working,-19.0
2025-04-22 18:04,after,-19.9
2025-04-23 04:54,before,-19.0
2025-04-23 12:24,working,-17.8
2025-04-23 18:04,after,-19.4
2025-04-24 04:54,before,-19.8
2025-04-24 12:24,working,-18.2
2025-04-24 18:04,after,-19.6
2025-04-25 04:54,before,-18.5
2025-04-25 12:24,working,-19.1
2025-04-25 18:04,after,-18.1
2025-04-26 04:54,before,-17.4
2025-04-26 12:14,working,-18.5
2025-04-26 18:04,after,-19.2
2025-04-27 04:54,before,-18.3
2025-04-27 12:24,working,-19.7
2025-04-27 18:04,after,-19.1
2025-04-28 04:54,before,-19.2
2025-04-28 12:24,working,-18.5
2025-04-28 19:34,after,-18.0
2025-04-29 04:54,before,-19.5
2025-04-29 12:24,working,-19.5
2025-04-29 18:05,after,-19.0
2025-04-30 04:55,before,-17.5
2025-04-30 12:25,working,-17.8
2025-04-30 18:05,after,-19.2
